104	1075	79
104	1075	79
100	1079	79
96	1081	79
86	1096	71
93	1096	67
93	1089	71
86	1085	82
82	1085	89
96	1081	89
104	1075	93
107	1079	93
107	1089	82
114	1096	82
124	1103	75
132	1114	71
132	1132	79
146	1146	93
157	1171	110
164	1207	128
258	1235	143
299	1256	161
307	1270	179
303	1278	203
303	1278	221
317	1268	239
339	1250	254
372	1213	272
390	1189	286
392	1160	293
96	1128	307
82	1121	311
82	1103	315
79	1075	329
79	1046	339
82	1018	343
82	996	335
96	971	321
93	961	303
86	957	278
79	957	242
67	949	225
65	939	207
53	935	193
57	928	181
57	918	175
57	910	161
53	910	150
55	910	141
55	910	131
58	900	119
65	892	113
72	885	105
65	881	102
62	876	91
55	876	88
62	868	88
66	864	84
58	860	84
62	857	80
62	860	74
66	864	70
66	864	70
74	864	74
99	853	84
107	853	88
103	860	88
95	864	88
88	872	88
62	897	91
66	897	99
74	897	95
95	890	88
99	890	84
88	905	84
84	916	95
77	934	99
66	948	107
58	956	124
55	963	146
48	975	154
51	981	165
